,phrase,lexicon,"polatity, total",polatity positive,"polatity positive, %",polatity negative,"polatity negative, %"
23,"Власти Самарской области определили места, куда будут пускать по QR-коду""
",SentiRusColl,142,0,0.0,142,100.0
24,"В ТЦ «Авиапарк» ответили на угрозу закрытия на 90 суток
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
25,"В ТЦ «Авиапарк» ответили на угрозу закрытия на 90 суток
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
26,"В ТЦ «Авиапарк» ответили на угрозу закрытия на 90 суток
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
27,"В ТЦ «Авиапарк» ответили на угрозу закрытия на 90 суток
",ProductSentiRus,142,0,0.0,142,100.0
28,"В ТЦ «Авиапарк» ответили на угрозу закрытия на 90 суток
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
29,"В ТЦ «Авиапарк» ответили на угрозу закрытия на 90 суток
",SentiRusColl,142,0,0.0,142,100.0
30,"Попова заявила о росте заболеваемости COVID-19 в 56 регионах России
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
31,"Попова заявила о росте заболеваемости COVID-19 в 56 регионах России
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
32,"Попова заявила о росте заболеваемости COVID-19 в 56 регионах России
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
33,"Попова заявила о росте заболеваемости COVID-19 в 56 регионах России
",ProductSentiRus,142,0,0.0,142,100.0
34,"Попова заявила о росте заболеваемости COVID-19 в 56 регионах России
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
35,"Попова заявила о росте заболеваемости COVID-19 в 56 регионах России
",SentiRusColl,142,0,0.0,142,100.0
36,"Песков заявил о нарастающей волне заболеваемости коронавирусом
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
37,"Песков заявил о нарастающей волне заболеваемости коронавирусом
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
38,"Песков заявил о нарастающей волне заболеваемости коронавирусом
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
39,"Песков заявил о нарастающей волне заболеваемости коронавирусом
",ProductSentiRus,142,0,0.0,142,100.0
40,"Песков заявил о нарастающей волне заболеваемости коронавирусом
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
41,"Песков заявил о нарастающей волне заболеваемости коронавирусом
",SentiRusColl,142,0,0.0,142,100.0
42,"ТЦ «Авиапарк» в Москве пригрозили закрыть за нарушения масочного режима
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
43,"ТЦ «Авиапарк» в Москве пригрозили закрыть за нарушения масочного режима
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
44,"ТЦ «Авиапарк» в Москве пригрозили закрыть за нарушения масочного режима
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
45,"ТЦ «Авиапарк» в Москве пригрозили закрыть за нарушения масочного режима
",ProductSentiRus,142,0,0.0,142,100.0
46,"ТЦ «Авиапарк» в Москве пригрозили закрыть за нарушения масочного режима
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
47,"ТЦ «Авиапарк» в Москве пригрозили закрыть за нарушения масочного режима
",SentiRusColl,142,0,0.0,142,100.0
48,"Число полностью привитых россиян превысило 40 млн
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
49,"Число полностью привитых россиян превысило 40 млн
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
50,"Число полностью привитых россиян превысило 40 млн
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
51,"Число полностью привитых россиян превысило 40 млн
",ProductSentiRus,142,0,0.0,142,100.0
52,"Число полностью привитых россиян превысило 40 млн
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
53,"Число полностью привитых россиян превысило 40 млн
",SentiRusColl,142,0,0.0,142,100.0
54,"Кремль рассказал, что жизнь привитых от COVID будет «более удобной»""
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
55,"Кремль рассказал, что жизнь привитых от COVID будет «более удобной»""
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
56,"Кремль рассказал, что жизнь привитых от COVID будет «более удобной»""
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
57,"Кремль рассказал, что жизнь привитых от COVID будет «более удобной»""
",ProductSentiRus,142,0,0.0,142,100.0
58,"Кремль рассказал, что жизнь привитых от COVID будет «более удобной»""
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
59,"Кремль рассказал, что жизнь привитых от COVID будет «более удобной»""
",SentiRusColl,142,0,0.0,142,100.0
60,"Песков сообщил о состоянии адъютанта с COVID, работавшего с Путиным""
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
61,"Песков сообщил о состоянии адъютанта с COVID, работавшего с Путиным""
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
62,"Песков сообщил о состоянии адъютанта с COVID, работавшего с Путиным""
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
63,"Песков сообщил о состоянии адъютанта с COVID, работавшего с Путиным""
",ProductSentiRus,142,0,0.0,142,100.0
64,"Песков сообщил о состоянии адъютанта с COVID, работавшего с Путиным""
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
65,"Песков сообщил о состоянии адъютанта с COVID, работавшего с Путиным""
",SentiRusColl,142,0,0.0,142,100.0
66,"В Петербурге выявили рекордное с 31 января число новых случаев COVID-19
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
67,"В Петербурге выявили рекордное с 31 января число новых случаев COVID-19
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
68,"В Петербурге выявили рекордное с 31 января число новых случаев COVID-19
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
69,"В Петербурге выявили рекордное с 31 января число новых случаев COVID-19
",ProductSentiRus,142,0,0.0,142,100.0
70,"В Петербурге выявили рекордное с 31 января число новых случаев COVID-19
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
71,"В Петербурге выявили рекордное с 31 января число новых случаев COVID-19
",SentiRusColl,142,0,0.0,142,100.0
72,"В России выявили максимум случаев заражения COVID-19 с конца июля
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
73,"В России выявили максимум случаев заражения COVID-19 с конца июля
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
74,"В России выявили максимум случаев заражения COVID-19 с конца июля
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
75,"В России выявили максимум случаев заражения COVID-19 с конца июля
",ProductSentiRus,142,0,0.0,142,100.0
76,"В России выявили максимум случаев заражения COVID-19 с конца июля
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
77,"В России выявили максимум случаев заражения COVID-19 с конца июля
",SentiRusColl,142,0,0.0,142,100.0
78,"Смертность от COVID в России обновила рекорд третий день подряд
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
79,"Смертность от COVID в России обновила рекорд третий день подряд
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
80,"Смертность от COVID в России обновила рекорд третий день подряд
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
81,"Смертность от COVID в России обновила рекорд третий день подряд
",ProductSentiRus,142,0,0.0,142,100.0
82,"Смертность от COVID в России обновила рекорд третий день подряд
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
83,"Смертность от COVID в России обновила рекорд третий день подряд
",SentiRusColl,142,0,0.0,142,100.0
84,"Наибольшее число летальных случаев зафиксировано в Москве. Цифры по заболеваемости достигли июльских показателей
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
85,"Наибольшее число летальных случаев зафиксировано в Москве. Цифры по заболеваемости достигли июльских показателей
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
86,"Наибольшее число летальных случаев зафиксировано в Москве. Цифры по заболеваемости достигли июльских показателей
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
87,"Наибольшее число летальных случаев зафиксировано в Москве. Цифры по заболеваемости достигли июльских показателей
",ProductSentiRus,142,0,0.0,142,100.0
88,"Наибольшее число летальных случаев зафиксировано в Москве. Цифры по заболеваемости достигли июльских показателей
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
89,"Наибольшее число летальных случаев зафиксировано в Москве. Цифры по заболеваемости достигли июльских показателей
",SentiRusColl,142,0,0.0,142,100.0
90,"В Москве всем пациентам с ОРВИ будут делать экспресс-тесты на COVID
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
91,"В Москве всем пациентам с ОРВИ будут делать экспресс-тесты на COVID
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
92,"В Москве всем пациентам с ОРВИ будут делать экспресс-тесты на COVID
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
93,"В Москве всем пациентам с ОРВИ будут делать экспресс-тесты на COVID
",ProductSentiRus,142,0,0.0,142,100.0
94,"В Москве всем пациентам с ОРВИ будут делать экспресс-тесты на COVID
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
95,"В Москве всем пациентам с ОРВИ будут делать экспресс-тесты на COVID
",SentiRusColl,142,0,0.0,142,100.0
96,"Как заявили власти Москвы, экспресс-тесты помогают диагностировать COVID-19 за 10–20 минут, в 85% случаев результат совпадает с ПЦР""
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
97,"Как заявили власти Москвы, экспресс-тесты помогают диагностировать COVID-19 за 10–20 минут, в 85% случаев результат совпадает с ПЦР""
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
98,"Как заявили власти Москвы, экспресс-тесты помогают диагностировать COVID-19 за 10–20 минут, в 85% случаев результат совпадает с ПЦР""
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
99,"Как заявили власти Москвы, экспресс-тесты помогают диагностировать COVID-19 за 10–20 минут, в 85% случаев результат совпадает с ПЦР""
",ProductSentiRus,142,0,0.0,142,100.0
100,"Как заявили власти Москвы, экспресс-тесты помогают диагностировать COVID-19 за 10–20 минут, в 85% случаев результат совпадает с ПЦР""
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
101,"Как заявили власти Москвы, экспресс-тесты помогают диагностировать COVID-19 за 10–20 минут, в 85% случаев результат совпадает с ПЦР""
",SentiRusColl,142,0,0.0,142,100.0
102,"Врачи назвали сроки и последствия постковидного синдрома
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
103,"Врачи назвали сроки и последствия постковидного синдрома
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
104,"Врачи назвали сроки и последствия постковидного синдрома
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
105,"Врачи назвали сроки и последствия постковидного синдрома
",ProductSentiRus,142,0,0.0,142,100.0
106,"Врачи назвали сроки и последствия постковидного синдрома
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
107,"Врачи назвали сроки и последствия постковидного синдрома
",SentiRusColl,142,0,0.0,142,100.0
108,"Власти Ставрополья пообещали штрафы за игнорирование системы QR-кодов
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
109,"Власти Ставрополья пообещали штрафы за игнорирование системы QR-кодов
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
110,"Власти Ставрополья пообещали штрафы за игнорирование системы QR-кодов
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
111,"Власти Ставрополья пообещали штрафы за игнорирование системы QR-кодов
",ProductSentiRus,142,0,0.0,142,100.0
112,"Власти Ставрополья пообещали штрафы за игнорирование системы QR-кодов
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
113,"Власти Ставрополья пообещали штрафы за игнорирование системы QR-кодов
",SentiRusColl,142,0,0.0,142,100.0
114,"Путин рассказал о заболевших COVID в своем окружении
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
115,"Путин рассказал о заболевших COVID в своем окружении
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
116,"Путин рассказал о заболевших COVID в своем окружении
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
117,"Путин рассказал о заболевших COVID в своем окружении
",ProductSentiRus,142,0,0.0,142,100.0
118,"Путин рассказал о заболевших COVID в своем окружении
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
119,"Путин рассказал о заболевших COVID в своем окружении
",SentiRusColl,142,0,0.0,142,100.0
120,"Он рассказал, что в его окружении коронавирусом заболели три десятка человек. По его словам, он целый день общался с заразившимся адъютантом. «Меня, слава богу, пронесло», — сказал Путин""
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
121,"Он рассказал, что в его окружении коронавирусом заболели три десятка человек. По его словам, он целый день общался с заразившимся адъютантом. «Меня, слава богу, пронесло», — сказал Путин""
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
122,"Он рассказал, что в его окружении коронавирусом заболели три десятка человек. По его словам, он целый день общался с заразившимся адъютантом. «Меня, слава богу, пронесло», — сказал Путин""
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
123,"Он рассказал, что в его окружении коронавирусом заболели три десятка человек. По его словам, он целый день общался с заразившимся адъютантом. «Меня, слава богу, пронесло», — сказал Путин""
",ProductSentiRus,142,0,0.0,142,100.0
124,"Он рассказал, что в его окружении коронавирусом заболели три десятка человек. По его словам, он целый день общался с заразившимся адъютантом. «Меня, слава богу, пронесло», — сказал Путин""
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
125,"Он рассказал, что в его окружении коронавирусом заболели три десятка человек. По его словам, он целый день общался с заразившимся адъютантом. «Меня, слава богу, пронесло», — сказал Путин""
",SentiRusColl,142,0,0.0,142,100.0
126,"Лариса Гузеева рассказала о заболевании COVID-19
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
127,"Лариса Гузеева рассказала о заболевании COVID-19
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
128,"Лариса Гузеева рассказала о заболевании COVID-19
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
129,"Лариса Гузеева рассказала о заболевании COVID-19
",ProductSentiRus,142,0,0.0,142,100.0
130,"Лариса Гузеева рассказала о заболевании COVID-19
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
131,"Лариса Гузеева рассказала о заболевании COVID-19
",SentiRusColl,142,0,0.0,142,100.0
132,"В Новосибирске напомнили о COVID-мерах после отмены концерта рэпера Face
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
133,"В Новосибирске напомнили о COVID-мерах после отмены концерта рэпера Face
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
134,"В Новосибирске напомнили о COVID-мерах после отмены концерта рэпера Face
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
135,"В Новосибирске напомнили о COVID-мерах после отмены концерта рэпера Face
",ProductSentiRus,142,0,0.0,142,100.0
136,"В Новосибирске напомнили о COVID-мерах после отмены концерта рэпера Face
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
137,"В Новосибирске напомнили о COVID-мерах после отмены концерта рэпера Face
",SentiRusColl,142,0,0.0,142,100.0
138,"В Чувашии отказались закрывать кафе и рестораны, но ввели QR-коды""
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
139,"В Чувашии отказались закрывать кафе и рестораны, но ввели QR-коды""
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
140,"В Чувашии отказались закрывать кафе и рестораны, но ввели QR-коды""
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
141,"В Чувашии отказались закрывать кафе и рестораны, но ввели QR-коды""
",ProductSentiRus,142,0,0.0,142,100.0
142,"В Чувашии отказались закрывать кафе и рестораны, но ввели QR-коды""
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
143,"В Чувашии отказались закрывать кафе и рестораны, но ввели QR-коды""
",SentiRusColl,142,0,0.0,142,100.0
144,"Песков назвал ситуацию с коронавирусом поводом для мобилизации
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
145,"Песков назвал ситуацию с коронавирусом поводом для мобилизации
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
146,"Песков назвал ситуацию с коронавирусом поводом для мобилизации
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
147,"Песков назвал ситуацию с коронавирусом поводом для мобилизации
",ProductSentiRus,142,0,0.0,142,100.0
148,"Песков назвал ситуацию с коронавирусом поводом для мобилизации
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
149,"Песков назвал ситуацию с коронавирусом поводом для мобилизации
",SentiRusColl,142,0,0.0,142,100.0
150,"В России вновь выявили более 22 тыс. случаев заражения COVID-19
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
151,"В России вновь выявили более 22 тыс. случаев заражения COVID-19
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
152,"В России вновь выявили более 22 тыс. случаев заражения COVID-19
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
153,"В России вновь выявили более 22 тыс. случаев заражения COVID-19
",ProductSentiRus,142,0,0.0,142,100.0
154,"В России вновь выявили более 22 тыс. случаев заражения COVID-19
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
155,"В России вновь выявили более 22 тыс. случаев заражения COVID-19
",SentiRusColl,142,0,0.0,142,100.0
156,"В России второй день подряд побит рекорд по смертности от COVID
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
157,"В России второй день подряд побит рекорд по смертности от COVID
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
158,"В России второй день подряд побит рекорд по смертности от COVID
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
159,"В России второй день подряд побит рекорд по смертности от COVID
",ProductSentiRus,142,0,0.0,142,100.0
160,"В России второй день подряд побит рекорд по смертности от COVID
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
161,"В России второй день подряд побит рекорд по смертности от COVID
",SentiRusColl,142,0,0.0,142,100.0
162,"В среду умерли 857 человек, днем ранее — 852 человека. Также за сутки в стране зарегистрировали 22,4 тыс. новых заболевших COVID-19""
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
163,"В среду умерли 857 человек, днем ранее — 852 человека. Также за сутки в стране зарегистрировали 22,4 тыс. новых заболевших COVID-19""
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
164,"В среду умерли 857 человек, днем ранее — 852 человека. Также за сутки в стране зарегистрировали 22,4 тыс. новых заболевших COVID-19""
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
165,"В среду умерли 857 человек, днем ранее — 852 человека. Также за сутки в стране зарегистрировали 22,4 тыс. новых заболевших COVID-19""
",ProductSentiRus,142,0,0.0,142,100.0
166,"В среду умерли 857 человек, днем ранее — 852 человека. Также за сутки в стране зарегистрировали 22,4 тыс. новых заболевших COVID-19""
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
167,"В среду умерли 857 человек, днем ранее — 852 человека. Также за сутки в стране зарегистрировали 22,4 тыс. новых заболевших COVID-19""
",SentiRusColl,142,0,0.0,142,100.0
168,"В Чувашии приостановили работу кафе и ресторанов из-за COVID-19
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
169,"В Чувашии приостановили работу кафе и ресторанов из-за COVID-19
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
170,"В Чувашии приостановили работу кафе и ресторанов из-за COVID-19
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
171,"В Чувашии приостановили работу кафе и ресторанов из-за COVID-19
",ProductSentiRus,142,0,0.0,142,100.0
172,"В Чувашии приостановили работу кафе и ресторанов из-за COVID-19
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
173,"В Чувашии приостановили работу кафе и ресторанов из-за COVID-19
",SentiRusColl,142,0,0.0,142,100.0
174,"Рекорд смертей, новое дело против Навального. Главное за день""
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
175,"Рекорд смертей, новое дело против Навального. Главное за день""
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
176,"Рекорд смертей, новое дело против Навального. Главное за день""
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
177,"Рекорд смертей, новое дело против Навального. Главное за день""
",ProductSentiRus,142,0,0.0,142,100.0
178,"Рекорд смертей, новое дело против Навального. Главное за день""
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
179,"Рекорд смертей, новое дело против Навального. Главное за день""
",SentiRusColl,142,0,0.0,142,100.0
180,"Регионы вводят новые ограничения на фоне рекорда по смертям, против Алексея Навального и его соратников возбудили новое уголовное дело, нефть подорожала до максимума за два года — главные новости в обзоре РБК""
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
181,"Регионы вводят новые ограничения на фоне рекорда по смертям, против Алексея Навального и его соратников возбудили новое уголовное дело, нефть подорожала до максимума за два года — главные новости в обзоре РБК""
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
182,"Регионы вводят новые ограничения на фоне рекорда по смертям, против Алексея Навального и его соратников возбудили новое уголовное дело, нефть подорожала до максимума за два года — главные новости в обзоре РБК""
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
183,"Регионы вводят новые ограничения на фоне рекорда по смертям, против Алексея Навального и его соратников возбудили новое уголовное дело, нефть подорожала до максимума за два года — главные новости в обзоре РБК""
",ProductSentiRus,142,0,0.0,142,100.0
184,"Регионы вводят новые ограничения на фоне рекорда по смертям, против Алексея Навального и его соратников возбудили новое уголовное дело, нефть подорожала до максимума за два года — главные новости в обзоре РБК""
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
185,"Регионы вводят новые ограничения на фоне рекорда по смертям, против Алексея Навального и его соратников возбудили новое уголовное дело, нефть подорожала до максимума за два года — главные новости в обзоре РБК""
",SentiRusColl,142,0,0.0,142,100.0
186,"В двух регионах России введут QR-коды
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
187,"В двух регионах России введут QR-коды
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
188,"В двух регионах России введут QR-коды
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
189,"В двух регионах России введут QR-коды
",ProductSentiRus,142,0,0.0,142,100.0
190,"В двух регионах России введут QR-коды
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
191,"В двух регионах России введут QR-коды
",SentiRusColl,142,0,0.0,142,100.0
192,"В Удмуртии и Пермском крае введут QR-коды, коронавирусные ограничения также ужесточили Саратовская и Курская области""
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
193,"В Удмуртии и Пермском крае введут QR-коды, коронавирусные ограничения также ужесточили Саратовская и Курская области""
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
194,"В Удмуртии и Пермском крае введут QR-коды, коронавирусные ограничения также ужесточили Саратовская и Курская области""
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
195,"В Удмуртии и Пермском крае введут QR-коды, коронавирусные ограничения также ужесточили Саратовская и Курская области""
",ProductSentiRus,142,0,0.0,142,100.0
196,"В Удмуртии и Пермском крае введут QR-коды, коронавирусные ограничения также ужесточили Саратовская и Курская области""
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
197,"В Удмуртии и Пермском крае введут QR-коды, коронавирусные ограничения также ужесточили Саратовская и Курская области""
",SentiRusColl,142,0,0.0,142,100.0
198,"Эпидемиологи оценили сроки окончания пандемии COVID-19
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
199,"Эпидемиологи оценили сроки окончания пандемии COVID-19
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
200,"Эпидемиологи оценили сроки окончания пандемии COVID-19
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
201,"Эпидемиологи оценили сроки окончания пандемии COVID-19
",ProductSentiRus,142,0,0.0,142,100.0
202,"Эпидемиологи оценили сроки окончания пандемии COVID-19
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
203,"Эпидемиологи оценили сроки окончания пандемии COVID-19
",SentiRusColl,142,0,0.0,142,100.0
204,"Москва выделит почти 700 млн на заготовку плазмы для пациентов с COVID-19
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
205,"Москва выделит почти 700 млн на заготовку плазмы для пациентов с COVID-19
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
206,"Москва выделит почти 700 млн на заготовку плазмы для пациентов с COVID-19
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
