phrase;line;line, lemmas;RuSentiLex;EmoLex;LinisCrowd;ChenSkiena;ProductSentiRus;SentiRusColl
;"Берл Лазар объяснил, почему графа """"национальность"""" в паспорте не нужна""
";берл лазар объяснять почему граф национальность в паспорт не нужный;0;1;1;-1;-1;0
;"В Красноярском крае система QR-кодов останется и после 7 ноября
";в красноярский край система код оставаться и после ноябрь;0;0;0;0;0;0
;"Москвичам пообещали облачную погоду без осадков и до 11 градусов тепла
";москвич пообещать облачный погода без осадки и до градус тепло;0;0;0;1;0;0
;"Тебе повезло – ты не такой, как все"""": 1 ноября – День менеджера""
";ты везти ты не такой как все ноябрь день менеджер;1;0;-1;1;0;0
;"В Совфеде рассказали, сколько составит штраф за опасное вождение""
";в совфед рассказывать сколько составлять штраф за опасный вождение;-1;-1;0;-1;-1;0
;"Названы продукты, необходимые при непереносимости витамина D в таблетках""
";называть продукт необходимый при непереносимость витамин в таблетка;0;-1;0;0;1;0
;"Гинцбург заявил об отсутствии нареканий к """"Спутнику V"""" у трижды привитых""
";гинцбург заявлять об отсутствие нарекание к спутник у трижды прививать;-1;-1;-1;-1;-1;0
;"Феномен белого халата"""". Что делать, если при виде врача скачет давление?""
";феномен белый халат что делать если при вид врач скакать давление;0;1;-1;0;-1;0
;"Названы самые высокооплачиваемые вакансии в Москве в ноябре
";называть самый высокооплачиваемый вакансия в москва в ноябрь;0;-1;0;1;0;0
;"ФССП в 2021 году помогла разыскать почти восемь тысяч скрывавшихся россиян
";в год помогать разыскивать почти восемь тысяча скрываться россиянин;1;1;0;1;-1;0
;"Врач сравнил метеочувствительность у мужчин и женщин
";врач сравнивать метеочувствительность у мужчина и женщина;0;1;0;0;-1;0
;"В ФССП рассказали, сколько россиян не могут выехать за границу из-за долгов""
";в рассказывать сколько россиянин не мочь выезжать за граница из-за долг;-1;-1;-1;-1;-1;0
;"Стало известно, сколько россияне тратят на лечение своих питомцев""
";становиться известно сколько россиянин тратить на лечение свой питомец;-1;-1;0;0;-1;0
;"Эксперт рассказала, как защититься от хищения денег с бесконтактной карты""
";эксперт рассказывать как защищаться от хищение деньги с бесконтактный карта;-1;1;0;1;-1;0
;"Эксперты спрогнозировали рост цен в России в ноябре
";эксперт спрогнозировать рост цена в россия в ноябрь;0;1;-1;1;0;0
;"Эксперт рассказал, кто может получить льготу по оплате за электроэнергию""
";эксперт рассказывать кто мочь получать льгота по оплата за электроэнергия;1;0;0;1;-1;0
;"Врач рассказала, как избежать тяжелой формы постковидного синдрома""
";врач рассказывать как избегать тяжелый форма постковидный синдром;-1;1;0;-1;-1;0
;"Названа грозящая """"катастрофой"""" ошибка при лечении COVID-19""
";называть грозить катастрофа ошибка при лечение;-1;-1;-1;-1;0;0
;"Россиянам назвали случаи, когда лучше заплатить наличными""
";россиянин называть случай когда хорошо заплатить наличные;0;1;-1;0;-1;0
;"Врачи рассказали, почему для прививающихся опасно вегетарианство""
";врач рассказывать почему для прививаться опасный вегетарианство;-1;0;0;-1;0;0
;"Опубликован рейтинг регионов по уровню безработицы
";опубликовывать рейтинг регион по уровень безработица;-1;0;0;0;0;0
;"Медведев рассказал, что нужно для побуждения людей к вакцинации""
";медведев рассказывать что нужный для побуждение человек к вакцинация;0;1;0;0;-1;0
;"Медведев призвал провести черту между цензурой и ответственностью за фейки
";медведев призывать проводить черта между цензура и ответственность за фейк;1;-1;-1;-1;-1;0
;"Медведев призвал найти баланс между правами человека и вакцинацией
";медведев призывать находить баланс между право человек и вакцинация;0;1;0;1;-1;0
;"Медведев объяснил, почему Россия сталкивается с трудностями при вакцинации""
";медведев объяснять почему россия сталкиваться с трудность при вакцинация;-1;0;0;-1;-1;0
;"Медведев рассказал, когда удастся взять под контроль ситуацию с COVID-19""
";медведев рассказывать когда удаваться взять под контроль ситуация с;1;0;0;-1;-1;0
;"Медведев заявил о необходимости просвещения по вакцинации
";медведев заявлять о необходимость просвещение по вакцинация;0;0;0;1;-1;0
;"Медведев заявил о пятой фазе пандемии
";медведев заявлять о пятый фаза пандемия;-1;-1;0;0;0;0
;"Рейтинг российских регионов по уровню безработицы
";рейтинг российский регион по уровень безработица;-1;0;0;0;0;0
;"Священник рассказал, почему праздновать Хэллоуин вредно""
";священник рассказывать почему праздновать хэллоуин вредно;0;0;1;1;-1;0
;"Глава Башкирии в майке с Путиным призвал с позитивом провести нерабочие дни
";глава башкирия в майка с путин призывать с позитив проводить нерабочий день;0;0;-1;0;-1;0
;"Напавший на пассажиров в метро Токио мечтал быть казненным
";нападать на пассажир в метро токио мечтать быть казнить;-1;-1;-1;-1;-1;0
;"Франция полностью откажется от пластиковой упаковки
";франция полностью отказываться от пластиковый упаковка;0;0;0;0;-1;0
;"Дипломаты рассказали о состоянии россиян, пострадавших в ДТП в Анталье""
";дипломат рассказывать о состояние россиянин пострадать в дтп в анталья;0;0;-1;1;0;0
;"Егерь раскрыл подробности задержания депутата Рашкина
";егерь раскрывать подробность задержание депутат рашкин;0;-1;0;-1;-1;0
