,phrase,line,"line, lemmas",RuSentiLex,EmoLex,LinisCrowd,ChenSkiena,ProductSentiRus,SentiRusColl
14,,"Наибольшее число летальных случаев зафиксировано в Москве. Цифры по заболеваемости достигли июльских показателей
",большой число летальный случай зафиксировать в москва цифра по заболеваемость достигать июльский показатель,-1,-1,-1,0,-1,0
15,,"В Москве всем пациентам с ОРВИ будут делать экспресс-тесты на COVID
",в москва весь пациент с орвь быть делать экспресс тест на,0,1,0,1,-1,0
16,,"Как заявили власти Москвы, экспресс-тесты помогают диагностировать COVID-19 за 10–20 минут, в 85% случаев результат совпадает с ПЦР""
",как заявлять власть москва экспресс тест помогать диагностировать за минута в случай результат совпадать с,1,1,0,1,-1,0
17,,"Врачи назвали сроки и последствия постковидного синдрома
",врач называть срок и последствие постковидный синдром,-1,1,0,-1,0,0
18,,"Власти Ставрополья пообещали штрафы за игнорирование системы QR-кодов
",власть ставрополье пообещать штраф за игнорирование система код,-1,0,0,0,0,0
19,,"Путин рассказал о заболевших COVID в своем окружении
",путин рассказывать о заболевать в свой окружение,-1,0,-1,0,0,0
20,,"Он рассказал, что в его окружении коронавирусом заболели три десятка человек. По его словам, он целый день общался с заразившимся адъютантом. «Меня, слава богу, пронесло», — сказал Путин""
",он рассказывать что в его окружение коронавирус заболевать три десяток человек по его слово он целый день общаться с заражаться адъютант я слава бог пронести сказать путин,-1,1,0,1,-1,0
21,,"Лариса Гузеева рассказала о заболевании COVID-19
",лариса гузеева рассказывать о заболевание,-1,0,-1,0,0,0
22,,"В Новосибирске напомнили о COVID-мерах после отмены концерта рэпера Face
",в новосибирск напоминать о мера после отмена концерт рэпер,0,-1,0,1,-1,0
23,,"В Чувашии отказались закрывать кафе и рестораны, но ввели QR-коды""
",в чувашия отказываться закрывать кафе и ресторан но вводить код,0,0,-1,-1,-1,0
24,,"Песков назвал ситуацию с коронавирусом поводом для мобилизации
",песков называть ситуация с коронавирус повод для мобилизация,0,0,0,1,0,0
25,,"В России вновь выявили более 22 тыс. случаев заражения COVID-19
",в россия вновь выявлять много тыс случай заражение,-1,-1,-1,-1,-1,0
26,,"В России второй день подряд побит рекорд по смертности от COVID
",в россия второй день подряд побивать рекорд по смертность от,-1,-1,-1,0,-1,0
27,,"В среду умерли 857 человек, днем ранее — 852 человека. Также за сутки в стране зарегистрировали 22,4 тыс. новых заболевших COVID-19""
",в среда умирать человек день ранее человек также за сутки в страна зарегистрировать тыс новый заболевать,-1,1,-1,0,-1,0
28,,"В Чувашии приостановили работу кафе и ресторанов из-за COVID-19
",в чувашия приостанавливать работа кафе и ресторан из-за,0,1,0,0,0,0
29,,"Рекорд смертей, новое дело против Навального. Главное за день""
",рекорд смерть новый дело против навальный главное за день,-1,-1,-1,0,0,0
30,,"Регионы вводят новые ограничения на фоне рекорда по смертям, против Алексея Навального и его соратников возбудили новое уголовное дело, нефть подорожала до максимума за два года — главные новости в обзоре РБК""
",регион вводить новый ограничение на фон рекорд по смерть против алексей навальный и его соратник возбуждать новый уголовный дело нефть подорожать до максимум за два год главный новость в обзор,-1,-1,-1,0,-1,0
31,,"В двух регионах России введут QR-коды
",в два регион россия вводить код,0,0,0,0,0,0
32,,"В Удмуртии и Пермском крае введут QR-коды, коронавирусные ограничения также ужесточили Саратовская и Курская области""
",в удмуртия и пермский край вводить код коронавирусный ограничение также ужесточить саратовский и курская область,-1,-1,-1,-1,-1,0
33,,"Эпидемиологи оценили сроки окончания пандемии COVID-19
",эпидемиолог оценивать срок окончание пандемия,0,-1,0,1,-1,0
34,,"Москва выделит почти 700 млн на заготовку плазмы для пациентов с COVID-19
",москва выделять почти на заготовка плазма для пациент с,0,1,0,1,-1,0
35,,"Песков заявил о росте заболеваемости COVID-19 в российских регионах
",песков заявлять о рост заболеваемость в российский регион,-1,0,-1,0,0,0
36,,"Мурашко напомнил о высоком риске смерти в течение полугода после COVID-19
",мурашко напоминать о высокий риск смерть в течение полгода после,-1,-1,-1,-1,-1,0
37,,"В России за сутки от COVID умерло рекордное число больных
",в россия за сутки от умирать рекордный число больной,-1,-1,-1,-1,-1,0
38,,"За одни сутки в России от COVID-19 умерли 852 человека, что стало абсолютным максимумом с начала пандемии. Кроме того, в нескольких регионах установлен новый рекорд по числу выявленных заражений""
",за один сутки в россия от умирать человек что становиться абсолютный максимум с начало пандемия кроме то в несколько регион установленный новый рекорд по число выявлять заражение,-1,1,-1,-1,-1,0
39,,"Роспотребнадзор назвал число привившихся от гриппа россиян
",роспотребнадзор называть число прививаться от грипп россиянин,-1,-1,-1,0,-1,0
40,,"Эпидемиолог Роспотребнадзора назвала участившийся симптом COVID-19
",эпидемиолог роспотребнадзор называть учащаться симптом,0,-1,0,-1,0,0
41,,"Инфекционист спрогнозировал сроки окончания пандемии COVID-19
",инфекционист спрогнозировать срок окончание пандемия,-1,-1,0,0,0,0
42,,"В Минздраве рассказали о влиянии COVID-19 на ЭКО
",в минздрав рассказывать о влияние на эко,0,0,1,0,0,0
43,,"В Таиланде сократили карантин туристам и открыли Бангкок и 9 провинций
",в таиланд сокращать карантин турист и открывать бангкок и провинция,0,0,-1,0,-1,0
44,,"Бангкок и ряд туристических зон, расположенных в девяти провинциях Таиланда, в течение ноября откроются для полностью вакцинированных иностранных туристов без необходимости проходить 14-дневный карантин""
",бангкок и ряд туристический зона располагать в девять провинция таиланд в течение ноябрь открываться для полностью вакцинировать иностранный турист без необходимость проходить дневный карантин,0,0,0,1,-1,0
45,,"Официальный представитель Госдепа США заразился COVID-19
",официальный представитель госдеп сша заражаться,-1,0,0,1,-1,0
46,,"Власти Самарской области введут QR-коды для посещения фитнес-центров
",власть самарский область вводить код для посещение фитнес центр,0,1,0,0,0,0
47,,"«Фьюри — лучший боксер на планете». Прогнозы на последний бой легенды WBC
",фьюри хороший боксер на планета прогноз на последний бой легенда,0,-1,0,0,-1,0
48,,"... » в Лондоне. Для Фьюри этот поединок станет последним в карьере. «РБК Спорт» собрал прогнозы на прощальный бой легендарного боксера Костя Цзю ...
",в лондон для фьюри этот поединок становиться последний в карьера спорт собирать прогноз на прощальный бой легендарный боксер костя цзю,0,1,0,0,-1,0
49,,"Зеленский сообщил о визите Блинкена и Остина в Киев
",зеленский сообщать о визит блинкен и остин в киев,0,0,0,0,0,0
50,,"... министром обороны, и с госсекретарем США господином Блинкеном», — сказал Зеленский. [ РБК ] Генсек ООН встретится с Зеленским в Киеве 28 апреля При ...""
",министр оборона и с госсекретарь сша господин блинкен сказать зеленский генсек оон встречаться с зеленский в киев апрель при,0,0,1,0,-1,0
51,,"Минобороны заявило о планах ВСУ повторить в Лисичанске провокацию в Буче
",минобороны заявлять о план всу повторять в лисичанск провокация в буча,-1,-1,-1,-1,-1,0
52,,"... нанесении ударов по объектам гражданской инфраструктуры, добавили в Минобороны России. [ РБК ] Путин сравнил Бучу с «фейками о применении химоружия» в Сирии ... , пока они контролировали город, «ни один местный житель не пострадал». [ РБК ] Захарова заявила о подготовке силами НАТО провокаций на Украине Глава ...""
",нанесение удар по объект гражданский инфраструктура добавлять в минобороны россия путин сравнивать буча с фейк о применение химоружие в сирия пока они контролировать город ни один местный житель не пострадать захаров заявлять о подготовка сила нато провокация на украина глава,-1,-1,-1,-1,-1,0
53,,"Власти Самарской области определили места, куда будут пускать по QR-коду""
",власть самарский область определять место куда быть пускать по код,0,1,0,0,-1,0
54,,"В ТЦ «Авиапарк» ответили на угрозу закрытия на 90 суток
",в тц авиапарк отвечать на угроза закрытие на сутки,-1,0,-1,-1,-1,0
55,,"Попова заявила о росте заболеваемости COVID-19 в 56 регионах России
",попов заявлять о рост заболеваемость в регион россия,-1,0,-1,0,0,0
56,,"Песков заявил о нарастающей волне заболеваемости коронавирусом
",песков заявлять о нарастать волна заболеваемость коронавирус,-1,-1,-1,0,0,0
57,,"ТЦ «Авиапарк» в Москве пригрозили закрыть за нарушения масочного режима
",тц авиапарк в москва пригрозить закрывать за нарушение масочный режим,-1,-1,-1,-1,-1,0
58,,"Число полностью привитых россиян превысило 40 млн
",число полностью прививать россиянин превышать,-1,1,0,1,-1,0
59,,"Кремль рассказал, что жизнь привитых от COVID будет «более удобной»""
",кремль рассказывать что жизнь прививать от быть более удобный,1,1,0,1,-1,0
60,,"Песков сообщил о состоянии адъютанта с COVID, работавшего с Путиным""
",песков сообщать о состояние адъютант с работать с путин,0,0,0,1,0,0
61,,"В Петербурге выявили рекордное с 31 января число новых случаев COVID-19
",в петербург выявлять рекордный с январь число новый случай,0,0,0,0,-1,0
62,,"В России выявили максимум случаев заражения COVID-19 с конца июля
",в россия выявлять максимум случай заражение с конец июль,-1,-1,0,-1,-1,0
63,,"Смертность от COVID в России обновила рекорд третий день подряд
",смертность от в россия обновлять рекорд третий день подряд,-1,0,-1,1,-1,0
64,,"В Москве всем пациентам с ОРВИ будут делать экспресс-тесты на COVID
",в москва весь пациент с орвь быть делать экспресс тест на,0,1,0,1,-1,0
65,,"Врачи назвали сроки и последствия постковидного синдрома
",врач называть срок и последствие постковидный синдром,-1,1,0,-1,0,0
66,,"Власти Ставрополья пообещали штрафы за игнорирование системы QR-кодов
",власть ставрополье пообещать штраф за игнорирование система код,-1,0,0,0,0,0
67,,"Путин дал Эрдогану совет о ревакцинации от COVID. Видео
",путин давать эрдоган совет о ревакцинация от видео,0,0,0,0,-1,0
68,,"Путин рассказал о заболевших COVID в своем окружении
",путин рассказывать о заболевать в свой окружение,-1,0,-1,0,0,0
69,,"Лариса Гузеева рассказала о заболевании COVID-19
",лариса гузеева рассказывать о заболевание,-1,0,-1,0,0,0
70,,"В Новосибирске напомнили о COVID-мерах после отмены концерта рэпера Face
",в новосибирск напоминать о мера после отмена концерт рэпер,0,-1,0,1,-1,0
71,,"В Чувашии отказались закрывать кафе и рестораны, но ввели QR-коды""
",в чувашия отказываться закрывать кафе и ресторан но вводить код,0,0,-1,-1,-1,0
72,,"Песков назвал ситуацию с коронавирусом поводом для мобилизации
",песков называть ситуация с коронавирус повод для мобилизация,0,0,0,1,0,0
73,,"В России вновь выявили более 22 тыс. случаев заражения COVID-19
",в россия вновь выявлять много тыс случай заражение,-1,-1,-1,-1,-1,0
74,,"В России второй день подряд побит рекорд по смертности от COVID
",в россия второй день подряд побивать рекорд по смертность от,-1,-1,-1,0,-1,0
75,,"В Чувашии приостановили работу кафе и ресторанов из-за COVID-19
",в чувашия приостанавливать работа кафе и ресторан из-за,0,1,0,0,0,0
76,,"Рекорд смертей, новое дело против Навального. Главное за день""
",рекорд смерть новый дело против навальный главное за день,-1,-1,-1,0,0,0
77,,"В двух регионах России введут QR-коды
",в два регион россия вводить код,0,0,0,0,0,0
78,,"Эпидемиологи оценили сроки окончания пандемии COVID-19
",эпидемиолог оценивать срок окончание пандемия,0,-1,0,1,-1,0
79,,"Москва выделит почти 700 млн на заготовку плазмы для пациентов с COVID-19
",москва выделять почти на заготовка плазма для пациент с,0,1,0,1,-1,0
80,,"Песков заявил о росте заболеваемости COVID-19 в российских регионах
",песков заявлять о рост заболеваемость в российский регион,-1,0,-1,0,0,0
81,,"Мурашко напомнил о высоком риске смерти в течение полугода после COVID-19
",мурашко напоминать о высокий риск смерть в течение полгода после,-1,-1,-1,-1,-1,0
82,,"В России за сутки от COVID умерло рекордное число больных
",в россия за сутки от умирать рекордный число больной,-1,-1,-1,-1,-1,0
83,,"Роспотребнадзор назвал число привившихся от гриппа россиян
",роспотребнадзор называть число прививаться от грипп россиянин,-1,-1,-1,0,-1,0
84,,"Эпидемиолог Роспотребнадзора назвала участившийся симптом COVID-19
",эпидемиолог роспотребнадзор называть учащаться симптом,0,-1,0,-1,0,0
85,,"Инфекционист спрогнозировал сроки окончания пандемии COVID-19
",инфекционист спрогнозировать срок окончание пандемия,-1,-1,0,0,0,0
86,,"В Минздраве рассказали о влиянии COVID-19 на ЭКО
",в минздрав рассказывать о влияние на эко,0,0,1,0,0,0
87,,"В Таиланде сократили карантин туристам и открыли Бангкок и 9 провинций
",в таиланд сокращать карантин турист и открывать бангкок и провинция,0,0,-1,0,-1,0
88,,"Официальный представитель Госдепа США заразился COVID-19
",официальный представитель госдеп сша заражаться,-1,0,0,1,-1,0
89,,"Байден сделал третью прививку от коронавируса
",байден сделать третий прививка от коронавирус,0,0,0,0,0,0
90,,"Власти Самарской области введут QR-коды для посещения фитнес-центров
",власть самарский область вводить код для посещение фитнес центр,0,1,0,0,0,0
91,,"Айти не найти: что ударит по рынку труда сильнее отъезда программистов
",айти не находить что ударять по рынок труд сильно отъезд программист,0,-1,0,1,0,0
92,,"В Бельгии из-за санкций застряли 8 тыс. люксовых автомобилей для России
",в бельгия из-за санкция застревать тыс люксовый автомобиль для россия,-1,0,0,0,0,0
93,,"Итоги недели: повышение цен на проезд, новый ректор КФУ и Ту-214""
",итог неделя повышение цена на проезд новый ректор кфу и тот,0,0,-1,1,-1,0
94,,"Во Франции стартовал второй тур президентских выборов
",во франция стартовать второй тур президентский выборы,0,0,0,-1,0,0
95,,"МВД сообщило о снижении ущерба от преступлений почти на 9%
",мвд сообщать о снижение ущерб от преступление почти на,-1,-1,-1,-1,0,0
96,,"Фирме «Океан» в Уфе на полгода запретили привлекать средства дольщиков
",фирма океан в уфа на полгода запрещать привлекать средство дольщик,-1,0,-1,0,-1,0
97,,"Вузы Новосибирска начали переносить контент на отечественные платформы
",вуз новосибирск начинать переносить контент на отечественный платформа,0,0,0,1,-1,0
98,,"Военная операция на Украине. Онлайн
",военный операция на украина онлайн,-1,0,0,-1,-1,0
99,,"Новая клиника, нехватка денег на реформу и «новые 90-е»""
",новый клиника нехватка деньги на реформа и новый е,-1,0,-1,1,-1,0
100,,"Как завершился второй месяц военной операции на Украине
",как завершаться второй месяц военный операция на украина,-1,0,0,0,0,0
101,,"Путин в поздравлении с Пасхой заявил о вере в торжество жизни и добра
",путин в поздравление с пасха заявлять о вера в торжество жизнь и добро,1,0,1,1,0,0
102,,"ВОЗ сообщила о 40 тыс. смертей от коронавируса в мире
",воз сообщать о тыс смерть от коронавирус в мир,-1,0,-1,0,0,0
103,,"Российский самолет с медоборудованием для США приземлился в Нью-Йорке
",российский самолет с медоборудование для сша приземляться в нью-йорк,0,0,0,0,0,0
104,,"УЕФА решил отменить финансовый фейр-плей из-за коронавируса
",уефа решать отменять финансовый фейр плей из-за коронавирус,0,0,0,-1,-1,0
105,,"В Крыму приостановят автобусное сообщение из-за коронавируса
",в крым приостанавливать автобусный сообщение из-за коронавирус,0,0,0,0,0,0
106,,"В МВД оценили соблюдение режима самоизоляции россиянами
",в мвд оценивать соблюдение режим самоизоляция россиянин,1,0,0,1,-1,0
107,,"Зеленский сравнил коронавирус с аварией на Чернобыльской АЭС
",зеленский сравнивать коронавирус с авария на чернобыльский аэс,-1,-1,-1,-1,-1,0
108,,"МВД сообщило о 1250 протоколах на нарушителей самоизоляции
",мвд сообщать о протокол на нарушитель самоизоляция,-1,-1,-1,-1,0,0
109,,"Экипаж российской атомной подлодки выпустили с карантина из-за вируса
",экипаж российский атомный подлодка выпускать с карантин из-за вирус,-1,-1,0,-1,-1,0
110,,"Число заболевших коронавирусом в США превысило 200 тыс. человек
",число заболевать коронавирус в сша превышать тыс человек,-1,1,-1,1,-1,0
111,,"В Петербурге завели дело из-за работы кальянной во время карантина
",в петербург заводить дело из-за работа кальянна во время карантин,0,1,0,-1,0,0
112,,"РЖД разрешили возвращать билеты без сбора из-за COVID-19
",ржд разрешать возвращать билет без сбор из-за,0,0,0,-1,0,0
113,,"Путин подписал закон об уголовной ответственности за нарушение карантина
",путин подписывать закон об уголовный ответственность за нарушение карантин,-1,-1,-1,-1,0,0
114,,"Глава ВОЗ предупредил об 1 млн зараженных COVID-19 в ближайшие дни
",глава воз предупреждать об заражать в близкий день,-1,-1,-1,0,-1,0
115,,"Число заболевших COVID-19 в Подмосковье выросло до 177
",число заболевать в подмосковье вырастать до,-1,0,-1,0,-1,0
116,,"В Петербурге три больницы остановили прием пациентов из-за COVID-19
",в петербург три больница останавливать прием пациент из-за,0,1,-1,1,-1,0
117,,"Путин утвердил штрафы за нарушение карантина и фейки о коронавирусе
",путин утверждать штраф за нарушение карантин и фейк о коронавирус,-1,-1,-1,-1,0,0
118,,"Воробьев назвал срок создания системы выдачи спецпропусков в Подмосковье
",воробьев называть срок создание система выдача спецпропуск в подмосковье,0,0,0,0,0,0
119,,"Умерших от COVID-19 рекомендовали хоронить в закрытых гробах
",умерший от рекомендовать хоронить в закрытый гроб,-1,0,-1,0,-1,0
120,,"Испытания вакцины «Вектора» от коронавируса проведут на 60 добровольцах
",испытание вакцина вектор от коронавирус проводить на доброволец,-1,1,-1,0,-1,0
121,,"Кабмин допустил рассмотрение COVID-19 как форс-мажора по договорам аренды
",кабмин допускать рассмотрение как форс-мажор по договор аренда,-1,0,0,1,0,0
122,,"Путин заявил об ухудшении ситуации с коронавирусом в России
",путин заявлять об ухудшение ситуация с коронавирус в россия,-1,-1,-1,-1,0,0
123,,"В Совфеде назвали способы отследить покидающих дома москвичей
",в совфед называть способ отслеживать покидать дом москвич,0,0,1,0,-1,0
124,,"Власти предложили продлить нерабочие недели в России
",власть предлагать продлять нерабочий неделя в россия,-1,1,-1,1,-1,0
125,,"В московском метро появится разметка для соблюдения дистанции
",в московский метро появляться разметка для соблюдение дистанция,0,0,0,-1,-1,0
126,,"Мосгордума приняла закон о штрафах для нарушителей самоизоляции
",мосгордума принимать закон о штраф для нарушитель самоизоляция,-1,-1,-1,-1,-1,0
127,,"Мэрия Москвы опровергла данные о продлении самоизоляции до конца апреля
",мэрия москва опровергать данные о продление самоизоляция до конец апрель,0,0,0,0,0,0
128,,"В Ереване из-за коронавируса впервые в истории закрыли метро
",в ереван из-за коронавирус впервые в история закрывать метро,0,0,0,0,-1,0
129,,"В Минздраве оценили готовность регионов к борьбе с коронавирусом
",в минздрав оценивать готовность регион к борьба с коронавирус,1,-1,0,1,-1,0
130,,"Генпрокуратура нашла в Сети новые фейки про коронавирус
",генпрокуратура находить в сеть новый фейк про коронавирус,0,0,0,1,-1,0
131,,"В Оренбурге начали проверку после утечки данных о прибывших из-за рубежа
",в оренбург начинать проверка после утечка данные о прибывать из-за рубеж,-1,0,-1,0,0,0
132,,"В Саратове возникли очереди из-за выдачи спецпропусков
",в саратов возникать очередь из-за выдача спецпропуск,-1,0,0,0,-1,0
133,,"В Минздраве заявили о передаче коронавируса половым путем
",в минздрав заявлять о передача коронавирус половой путь,0,0,0,0,-1,0
134,,"В «Росатоме» сообщили о четырех заболевших коронавирусной инфекцией
",в росатом сообщать о четыре заболевать коронавирусный инфекция,-1,0,-1,-1,0,0
135,,"Врачи объяснили высокую смертность в Италии последствиями эпидемии гриппа
",врач объяснять высокий смертность в италия последствие эпидемия грипп,-1,-1,-1,-1,-1,0
136,,"В Белоруссии умер второй пациент с коронавирусом
",в белоруссия умирать второй пациент с коронавирус,0,1,-1,0,-1,0
137,,"Ростуризм отчитался о возвращении почти всех организованных туристов
",ростуризм отчитываться о возвращение почти весь организованный турист,0,0,0,0,-1,0
138,,"Оперштаб заявил о лечении на дому более 500 москвичей с коронавирусом
",оперштаб заявлять о лечение на дом много москвич с коронавирус,-1,0,0,1,-1,0
139,,"Дума приняла поправки о кредитных каникулах для граждан и малого бизнеса
",дума принимать поправка о кредитный каникулы для гражданин и малый бизнес,1,1,0,0,-1,0
140,,"В Мосгордуме сообщили о результатах тестирования депутатов на коронавирус
",в мосгордума сообщать о результат тестирование депутат на коронавирус,0,0,0,0,0,0
141,,"Еще в двух регионах России ограничили продажу алкоголя из-за коронавируса
",еще в два регион россия ограничивать продажа алкоголь из-за коронавирус,0,-1,0,-1,-1,0
