lemma;sentiment
рекомендуется;0
совещание суда перед вынесением решения;0
консультант;1
пропаганда;1
адвокат;0
эгида;0
аэрация;0
антенна;0
аэродром;0
аэродинамика;0
воздухоплавание;0
самолет;0
эстетический;1
эстетика;1
NO TRANSLATION;0
издалека;0
приветливый;1
дело;0
затрагивающий;0
привязанность;1
привязанностей;0
NO TRANSLATION;0
аффидавит;0
аффилированная;1
присоединение;0
сродство;0
утверждать;1
утверждение;1
утвердительный;1
утвердительно;1
аффикс;0
тревожить;-1
страдающий;-1
недуг;-1
наплыв;1
полноводный;1
позволить себе;1
оскорбление;-1
в поле;0
выше;0
вышеупомянутый;0
вышеупомянутый;0
боюсь;-1
сызнова;0
кормовой;0
отава;-1
после полудня;0
осадок;-1
раздумье;0
NO TRANSLATION;1
агат;0
возраст;0
престарелый;0
агентство;0
агент;0
агломерация;0
усугубленный;-1
ухудшающий;-1
усугубление;-1
совокупный;0
агрегирование;0
агрессия;-1
агрессивный;-1
агрессор;-1
ошеломленный;-1
проворный;1
проворство;1
взволнованный;-1
агитация;-1
агностик;0
тому назад;0
мучительный;-1
агония;-1
дать согласие;1
приятный;1
согласовано;1
соглашаясь;1
соглашение;1
сельскохозяйственное;0
сельское хозяйство;1
на мели;-1
NO TRANSLATION;0
впереди;1
помощь;1
пособничество;1
Айыл;-1
больной;-1
недуг;0
цель;0
бесцельный;-1
воздух;0
воздушная подушка;0
воздушные перевозки;0
авиакомпания;0
авиатор;0
самолет;0
аэропорт;0
арии;-1
дирижабль;0
придел;0
NO TRANSLATION;0
NO TRANSLATION;0
похожий;0
алебастр;1
аварийная сигнализация;-1
тревожный;-1
NO TRANSLATION;0
альбом;0
алхимия;0
алкоголь;0
алкоголизм;-1
альков;0
бдительный;0
настороженность;1
оповещения;0
люцерна;0
алгебра;0
алгебраическая;0
алгоритм;0
алиби;0
инопланетянин;-1
отчуждать;-1
отчужденный;-1
отчуждение;-1
зажженный;0
выровненный;0
выравнивание;0
подобно;0
NO TRANSLATION;1
алименты;-1
аликвоты;0
в живых;1
щелочь;0
алкалоиды;0
смягчать;1
утверждение;-1
утверждать;-1
мнимый;0
верность;1
аллегорический;0
аллегория;0
аллегро;1
смягчать;1
облегчение;1
аллея;0
союз;0
союзный;1
аллигатор;0
выделять;0
распределение;0
отчислять;0
выделение;0
допустимый;1
пособие;0
позволил;0
сплав;0
завлекать;1
заманчивый;1
ссылка;0
наносной;0
союзник;1
альманах;0
всемогущий;1
наверх;0
алоха;1
рядом;0
отчужденный;-1
вслух;0
алфавит;0
буквенный;0
алтарь;0
изменять;0
внесение изменений;0
перебранка;-1
изменено;0
чередовать;0
альтернатива;0
высота над уровнем моря;0
альт;0
в целом;0
выпускник;0
альвеолярный;0
амальгама;0
укрупнение;0
копить;0
любитель;0
поражать;0
изумление;0
удивительно;1
посол;1
янтарный;0
окружающий;0
неоднозначность;0
двусмысленный;-1
сфера;0
амбиция;1
амбициозный;0
скорая помощь;0
засада;-1
улучшать;1
аминь;1
поддающийся;1
изменить;1
поправка;0
возмещение;1
удобства;1
аметист;0
любезный;1
дружный;1
среди;0
среди;0
аммиак;0
боеприпасов;0
амнезия;-1
амнистировать;1
аморфный;0
амортизация;0
количество;0
NO TRANSLATION;1
амперсант;0
амфетамины;-1
амфибия;0
десантный;0
амфитеатр;0
усиление;0
усиливать;0
амплитуда;0
NO TRANSLATION;0
ампутация;0
амулет;0
озадачивать;1
довольный;1
развлечение;1
забавный;1
NO TRANSLATION;0
анаконда;-1
анестезия;0
анестезирующее;0
анальный;-1
анальгетик;0
аналогичный;0
аналог;0
аналогия;0
анализ;0
аналитик;1
аналитический;0
анализировать;0
анализатор;0
анархизм;-1
анархист;-1
анархия;-1
анастомоз;0
анафема;-1
анатомический;0
анатомия;0
предок;0
наследственный;0
родословная;0
якорь;1
анкеровка;1
древний;-1
подсобный;0
андроген;0
анемон;0
заново;0
ангел;1
ангельский;1
гнев;-1
стенокардия;-1
ангиография;0
угол;0
ужение;-1
сердитый;-1
мучение;-1
угловая;0
безводный;0
животное;0
оживлять;1
мультипликационный;1
анимация;0
злоба;-1
предубеждение;-1
лодыжка;0
анналы;0
приложение;0
аннексия;0
NO TRANSLATION;0
аннигилировать;-1
уничтоженный;-1
уничтожение;-1
аннотировать;0
аннотирование;0
анонсировать;0
объявление;0
раздражать;-1
досада;-1
раздражающий;-1
аннуитет;0
кассировать;-1
кольцевой;0
упразднение;-1
кольцо;0
помазав;0
аномальный;0
аномалия;-1
скоро;0
анонимный;-1
ответ;0
подотчетный;0
автоответчик;0
муравей;0
антагонизм;-1
антагонист;-1
антагонистический;-1
NO TRANSLATION;0
предшествующее;0
антилопа;0
антенна;0
передний;0
гимн;0
антология;0
сибирская язва;-1
антропология;0
антибиотик;0
антибиотики;1
антихрист;-1
предвосхищение;0
досрочный;0
антидот;1
противогрибковый;1
сурьма;0
антипатия;-1
антиквар;0
устарелый;-1
античный;1
древность;0
антисептик;1
антиобщественный;-1
антитеза;-1
антитетический;0
противовирусный;0
олений рог;0
наковальня;0
тревожность;-1
озабоченный;-1
аорта;0
быстро;0
апаш;-1
квартира;0
апатичный;-1
апатия;-1
обезьянничать;0
апертура;0
апекс;0
тля;-1
кусок;0
апломб;1
апокалиптический;0
апологетический;1
апологет;0
принести извинения;1
апология;1
отступничество;0
отступник;0
апостол;1
апостольский;0
апостроф;0
ужасающий;-1
устройство;0
одежда;0
по всей видимости;0
привидение;0
обращение;0
появление;0
успокаивать;0
жалобщик;0
присоединять;0
придаток;0
аппендицит;-1
приложение;0
аппетит;0
закуска;0
аплодисменты;1
яблоко;0
прибор;0
Техника;0
применимость;0
применимый;0
заявитель;0
заявление;0
подать заявление;0
назначать;0
деловое свидание, встреча;0
назначения;0
распределять;0
раскладка;0
оценивать;0
заметный;0
признательность;1
предчувствовать;0
опасение;-1
опасающийся;-1
подмастерье;0
ученичество;0
подход;0
приближается;0
апробация;1
присвоение;-1
утверждение;1
одобрить;1
утверждение;1
приближенный;0
примерно;0
аппроксимирующая;0
приближение;0
угодья;0
фартук;0
склонный;1
уместность;1
вода;0
Аквамарин;0
аквариум;0
водный;0
акведук;0
водный;0
пахотный;0
арбитр;0
арбитражное;0
арбитраж;0
арбитр;0
оправка;0
дуга;0
аркада;0
арка;0
археологический;0
археолог;0
археология;1
архаичный;-1
архиепископ;0
арочный;0
лучник;0
стрельба из лука;0
образец;0
архипелаг;0
архитектор;0
архитектура;0
архив;0
Арктический;0
пылкий;1
пыл;1
трудный;-1
площадь;0
арена;0
ареолы;0
NO TRANSLATION;0
спорить;-1
аргумент;-1
аргументация;0
аргументированный;-1
аргументы;0
засушливый;-1
аристократия;1
аристократ;0
аристократический;1
арифметика;0
ковчег;0
рука;0
армада;0
вооружение;0
вооружений;-1
арматура;0
вооруженный;0
броня;1
бронированный;0
оружейный;0
оружие;0
армия;0
аромат;1
пробуждение;0
пробуждать;1
предъявление обвинения;-1
организовать;0
расположены;0
договоренность;0
массив;1
задолженность;-1
арестовывать;-1
прибытие;0
прибыть;0
высокомерие;-1
высокомерный;-1
стрела;0
арсенал;0
мышьяк;-1
поджог;-1
Изобразительное искусство;1
артерия;0
ловкий;0
членистоногие;0
Артишок;0
статья;0
статьи;0
артикулировать;1
сочленение;1
выдумка;0
артиллерия;-1
ремесленник;1
художник;0
NO TRANSLATION;1
художественный;1
художники;0
восходить;0
доминирующее влияние;1
вознесение;0
восхождение;1
определять;0
установлено;0
аскетический;0
ясень;-1
совестно;-1
пепел;-1
спящий;0
гадюка;0
аспартам;0
аспект;0
аспекты;0
асфальт;0
стремление;1
стремиться;1
стремящийся;1
жопа;-1
нападать;-1
зачинщик;-1
убийца;-1
убивать;-1
убийство;-1
нападение;-1
анализ;0
сборище;0
собирать;0
собранный;0
сборка;1
соизволение;1
утверждать;0
утверждая;1
утверждение;0
оценить;0
оценка;0
асессор;0
активы;1
Мудак;-1
назначать;0
правопреемник;0
назначение;0
усваивать;0
усвоение;0
помощь;1
помощь;1
помощник;0
ассоциировать;1
ассоциация;0
сортированный;0
ассортимент;0
успокаивать;1
предполагается,;0
при условии,;0
предположение;0
гарантия;1
уверять;0
уверенный;1
конечно;0
звездочка;0
астероиды;0
астигматизм;0
NO TRANSLATION;1
удивление;1
астральный;0
заблудившись;-1
вяжущее средство;-1
астролог;1
астрология;0
космонавт;1
астроном;1
астрономия;0
проницательный;1
на части;0
убежище;-1
асимметричный;0
асимметрия;0
асимптотический;0
ателье;0
атеизм;-1
атеист;0
атеистический;0
атеросклероз;-1
спортсмен;1
Спортивное;1
атлетизм;0
легкая атлетика;0
атлас;0
атмосфера;0
атмосферный;0
атолл;0
атом;1
атомное;0
искупать;1
расплата;1
Атриум;0
отвратительный;-1
зверство;-1
атрофия;-1
прикреплять;0
прикрепление;1
атака;-1
нападающий;-1
достигать;0
достижимый;1
достижение;1
попытка;0
посещаемость;0
служитель;1
внимание;1
внимательный;1
смягчать;0
ослабляется;-1
затухание;-1
удостоверять;1
засвидетельствование;0
чердак;0
наряд;0
отношение;0
адвокат;1
Привлечение;1
привлекательность;1
приходящаяся;0
атрибут;0
приписывание;0
потертость;0
рыжеватый;0
аукцион;0
аукционист;0
дерзновенный;0
дерзость;-1
слышимый;0
аудитория;0
аудит;0
прослушивание;0
аудитор;0
актовый зал;0
слуховой;0
нечто;0
увеличивать;1
увеличение;0
августейший;1
тетка;1
аура;1
северное сияние;0
покровительство;0
благоприятный;1
аскетический;-1
строгость;-1
аутентичный;1
проверять подлинность;0
аутентификация;0
подлинность;1
автор;1
авторитетный;1
власть;1
авторизация;1
санкционировать;0
уполномоченный;1
авторство;0
авто;0
автобиография;0
самодержавный;-1
автограф;0
автоматический;0
автомобиль;0
автономия;0
вскрытие трупа;-1
осень;0
вспомогательный;0
польза;0
лавина;-1
алчность;-1
аватар;1
мститель;-1
проспект;0
NO TRANSLATION;0
в среднем;0
прочь;-1
антипатия;-1
предотвращать;0
вольер;0
авиация;0
авиатор;0
алчный;0
авокадо;0
избежать;-1
уклонение;-1
избегая;0
Ждите;0
бодрствующий;0
пробуждать;0
награда;1
NO TRANSLATION;0
ужасный;-1
неловкость;-1
тент;0
косо;-1
осевой;0
аксиома;0
аксиоматический;0
ось;0
ось;0
ау;1
да;1
азимут;0
лазурь;0
лепет;-1
болтовня;-1
бабуин;-1
детка;1
няня;0
степень бакалавра;1
баккара;0
бакалавр;0
назад;0
позвоночник;1
поручитель;0
обратный эффект;0
нарды;0
задний план;0
экскаватор;0
пеший турист;0
отступаться;0
назад;-1
назад;-1
заводь;-1
бактерии;-1
NO TRANSLATION;-1
Плохо;-1
значок;0
барсук;-1
плохо;-1
негодность;-1
дефлектор;0
мешок;0
Багаж;0
мешковатый;0
волынка;0
порука;0
судебный пристав;-1
приманка;-1
выпекать;0
пекарня;0
выпечка;0
NO TRANSLATION;0
баланс;1
сбалансированный;1
балкон;0
плешивый;0
тюк;-1
брус;-1
мяч;0
баллада;1
балласт;0
балет;1
воздушный шар;0
голосование;1
бальный;0
бальзам;0
бальзамический;0
бальзам;1
бальзамического;0
NO TRANSLATION;-1
банан;0
группа;0
повязка;0
бандит;-1
повальное увлечение;0
отрава;-1
бах;-1
сосиска;-1
отгонять;-1
изгнанный;-1
высылка;-1
банджо;0
банка;0
банкир;0
банкрот;-1
банкротство;-1
баннер;0
банкет;1
сирена воздушной тревоги;-1
подшучивать;0
крещение;1
крестильный;1
бар;0
бородка;-1
варвар;-1
варварский;-1
варварство;-1
барбекю;0
колючий;0
бард;1
неоседланный;0
босиком;0
едва;0
блевать;0
сделка;1
баржа;0
баритон;0
лай;-1
сарай;0
гулянка;0
барометр;0
барон;0
барокко;0
барак;0
запрещенный;-1
бочка;0
бесплодный;-1
баррикада;-1
барьер;-1
за исключением;0
барристер;0
курган;0
бармен;0
бартер;0
база;0
бейсбол;0
плинтус;0
необоснованный;-1
подвал;0
базилика;0
бассейн;0
основа;0
греться;0
корзина;0
баскетбол;1
бас;0
NO TRANSLATION;0
фагот;0
Ублюдок;-1
бастион;1
летучая мышь;0
партия;0
дозирующий;0
NO TRANSLATION;0
ванна;1
купать;0
ванная;0
батиметрия;0
дубинка;0
батальон;0
долбить;-1
разбитый;-1
аккумулятор;-1
боевой;-1
боролись;-1
поле битвы;-1
похабный;-1
NO TRANSLATION;0
штыковой;-1
старица;0
восточный базар;0
пляж;0
маяк;0
шарик;0
развальцовка;0
бисер;0
гончая;0
клюв;0
мерный стакан;0
луч;1
лучезарный;1
медведь;0
борода;0
бородатый;0
податель;-1
подшипник;0
подшипники;0
медвежий;0
зверь;-1
зверский;-1
бить;0
битье;-1
кавалер;0
благоустройство;1
красивая;1
украшать;1
красота;1
манить;0
манить;0
постель;0
постельные принадлежности;0
коренная порода;1
Спальня;0
время отхода ко сну;0
пчела;0
говядина;0
улей;0
пиво;1
пчелиный воск;0
жук;0
случаться;-1
подходящий;1
помогать;1
очень прошу;-1
нищий;-1
нищенство;-1
начать;0
начинающий;0
начало;0
начатый;0
поведение;0
бегемот;-1
приказание;0
вот;0
признательный;-1
очевидец;0
запоздалый;-1
отставить;0
вера;0
Считается,;0
верующий;0
полагая;1
умалить;-1
колокол;0
воинственный;-1
рев;0
сильфон;0
живот;0
пожитки;0
ремень;-1
ошеломленный;0
скамейка;0
изгиб;0
клещи;-1
изгиб;0
под;0
благодетель;1
выгодный;1
бенефициар;0
выгода;1
благожелательность;1
доброкачественный;1
изогнутый;0
бензол;0
завещать;0
наследство;0
скорбящий;-1
тяжелая утрата;-1
лишенный;-1
бергамот;0
Берлин;0
неистовый;-1
спальное место;1
умолять;0
осаждать;0
развратный;-1
даровать;0
делать ставку;0
предавать;-1
предательство;-1
обручена;1
улучшение;1
делать ставки;0
Бетти;0
скос;0
напиток;1
стая;0
остерегаться;-1
озадаченный;-1
недоумение;0
смещение;-1
пристрастный;-1
нагрудник;0
библейский;1
Библиография;0
ссора;-1
двухцветный;0
велосипед;0
предложение;0
претендент;0
торги;0
двухгодичный;0
NO TRANSLATION;-1
разветвление;0
большой;0
изувер;-1
нетерпимый;-1
велосипед;0
двусторонний;0
двойной слой;0
желчь;-1
днище;0
двуязычный;1
законопроект;0
болванка;0
бильярд;0
миллиард;0
Билли;0
раз в два месяца;0
NO TRANSLATION;0
двоичный;0
привязывать;0
переплетная;0
переплет;0
Бинг;0
бинокулярный;0
бинокль;0
бином;0
биогенез;0
биограф;0
биография;0
биология;0
биопсия;-1
биосфера;0
двураздельный;0
береза;-1
птица;0
рождение;1
день рождения;1
место рождения;-1
право по рождению;0
NO TRANSLATION;0
бисексуал;0
епископ;0
бизон;0
немного;0
сука;-1
укусить;-1
горько;-1
горечь;-1
битум;0
раз в две недели;0
эксцентричный;-1
черный;-1
ежевика;0
классная доска;0
Блэк Джек;-1
шантажировать;-1
чернота;-1
кузнец;0
мочевой пузырь;0
лопасть;0
вина;-1
безупречный;1
ласковый;-1
пустой;0
одеяло;0
богохульный;-1
богохульство;-1
взрыв;-1
вопиющий;-1
болтовня;-1
полыхать;-1
полыхающий;0
отбеливатель;0
мрачный;-1
кровотечение;-1
порок;-1
смесь;0
смешивание;0
благословить;1
благословенный;1
благословение;1
благословения;1
отравлять;-1
омрачена;-1
слепой;-1
ослепил;-1
повязка на глаза;0
с завязанными глазами;0
слепо;-1
слепота;-1
мерцать;0
блаженство;1
блаженный;1
волдырь;-1
блицкриг;0
метель;0
раздутый;-1
капля;-1
блок;0
блокада;-1
NO TRANSLATION;0
кровь;0
ищейка;0
бескровный;1
кровопролитие;-1
кровожадный;-1
кровавый;-1
цветение;1
цвести;1
пятно;-1
блузка;0
воздуходувка;-1
дующий;0
взорван;0
задуть;-1
синий;0
блюз;-1
утес;-1
голубоватый;0
просчет;-1
тупой;0
пятно;-1
размытый;-1
румянец;-1
застенчивый;0
NO TRANSLATION;0
боров;0
доска;0
NO TRANSLATION;0
посадка;0
доски;0
хвастовство;0
хвастовство;-1
лодка;0
гребля;0
бобина;0
предвещать;0
корсаж;0
телесный;0
тело;0
телохранитель;1
трясина;-1
фиктивный;-1
кипятить;-1
котел;0
шаблонный;-1
кипение;0
неистовый;0
жирный;1
смелость;1
поддерживать;1
болт;0
пилюля;0
бомбить;-1
бомбардировать;-1
бомбардировка;-1
бомбил;-1
бомбардировщик;0
золотое дно;1
связь;0
зависимость;-1
облигации;-1
кость;0
глупая ошибка;0
скелет;0
костер;0
NO TRANSLATION;1
капот;0
бонус;1
костлявый;0
бу;-1
болван;0
балбес;-1
книга;0
книжный шкаф;0
бронирование;0
книжный;1
счетовод;0
счетоводство;0
буклет;0
книги;0
продавец книг;0
книжный магазин;1
книжный магазин;0
библиофил;0
бумеранг;0
растущий;0
благодеяние;1
увеличение;0
ракета-носитель;0
ботинок;0
стенд;0
ботинки;0
добыча;0
выпивка;-1
граница;0
окаймляющий;0
NO TRANSLATION;-1
северный;0
скука;-1
бур;0
скучный;-1
район;0
заимствовать;0
заемщик;-1
лоно;0
босс;0
Бостон;0
ботанический;0
ботаник;0
ботаника;0
беспокоить;-1
утруждая;-1
бутылка;0
дно;-1
бездонный;0
валун;0
подпрыгивать;0
связанный;-1
граница;0
беспредельный;0
оценки;0
обильный;1
щедрость;1
букет;1
буржуазный;0
буржуазия;0
парижская фондовая биржа;0
бой;-1
бычий;-1
поклонилась;0
кишечник;0
миска;0
чаш;0
коробка;0
боксер;0
заниматься боксом;0
мальчик;-1
бойкотировать;-1
отрочество;0
мальчишеский;0
распорка;0
браслет;0
фигурные скобки;0
плечевой;0
скобка;0
кронштейны;0
солоноватый;0
штифтик;0
хвастать;-1
оплетка;0
головной мозг;0
мозги;1
мозговой штурм;0
тормоз;0
отруби;0
филиал;0
разветвление;0
бренди;-1
латунь;0
отродье;0
бравада;-1
храбрость;1
скандалить;-1
наглый;-1
нарушение;-1
хлеб;0
ширина;0
ломать;0
ломкий;0
сломать;-1
выключатель;0
автоматические выключатели;0
завтрак;1
головокружительный;-1
NO TRANSLATION;-1
дыхание;0
ягодица;0
бриджи;0
разводить;0
производитель;0
разведение;0
ветер;0
свежий;0
братия;0
NO TRANSLATION;0
краткость;0
заваривать;0
пивоварение;0
взятка;-1
взяточничество;-1
кирпич;0
свадебный;1
невеста;1
жених;1
подружка невесты;1
мост;0
уздечка;0
кратко;0
бриг;0
бригада;-1
просиять;1
яркость;1
блестящий;1
край;0
наполняясь;0
сера;-1
рассол;0
приносить;0
Brink;0
юркий;0
щетина;-1
ломкий;0
широковещательный;0
бортовой залп;-1
парча;1
брошюра;0
жариться;-1
сломал;-1
сломанный;-1
маклер;0
брокерский;0
полудикая лошадь;0
бронза;0
выводок;0
задумчивый;0
ручей;0
метла;0
бульон;0
бордель;-1
брат;1
братство;1
братский;1
чело;0
коричневый;0
синяк;-1
брюнетка;0
главный удар;-1
щетка;0
зверский;-1
зверство;-1
скотина;-1
пузырь;0
кипение;0
доллар;0
ведро;0
пряжка;0
закрепленный;0
бутон;0
дружище;1
шевелиться;0
бюджет;0
буйвол;0
буфер;0
буфет;-1
ошибка;-1
NO TRANSLATION;-1
детская коляска;0
горн;0
строить;1
строитель;0
здание;1
здания;0
колба;0
луковичный;-1
выпуклость;0
насыпной;0
переборка;0
объемистый;0
бык;0
бульдог;1
бульдозер;0
пуля;0
бюллетень;0
пуленепробиваемый;1
вол;0
задира;-1
фальшборт;0
бомж;-1
лентяй;-1
удар;0
NO TRANSLATION;0
гроздь;0
сверток;0
бунгало;0
койка;0
бункерный;0
пихать;0
буй;1
плавучесть;0
репейник;0
бремя;0
обременительный;-1
бюро;0
бюрократия;-1
бюрократ;-1
взломщик;-1
кража со взломом;-1
захоронение;-1
похороненный;-1
замять;-1
брезент;0
бурлеск;0
дородный;0
жечь;0
горелка;0
сжигание;0
отполированный;0
Выгореть;0
сожжен;-1
заусенец;0
нора;0
стипендия;0
закапывать;0
автобус;0
куст;0
бушель;0
лохматый;0
бизнес;0
звонкий поцелуй;1
бюст;0
лопнул;-1
суматоха;0
суетливый;0
занятый;0
бутан;0
мясник;-1
дворецкий;1
приклад;-1
масло;0
бабочка;0
маслянистый;1
ягодица;0
кнопка;0
подпирать;0
добродушная;1
купить;0
покупатель;0
покупка;0
жужжание;1
жужжали;-1
зуммер;0
пока;0
пережитый;0
в соответствии с законом;0
свидетель;0
байт;0
такси;1
интрига;-1
капуста;0
кабина;0
кабинет;1
кабель;0
кабриолет;0
кэш;0
какофония;-1
хам;-1
труп;-1
чайница;0
каденция;0
кадет;0
кафе;1
клетка;-1
гурий;0
кекс;0
бедствие;0
известковый;0
подсчитывать;0
вычисленный;0
расчета;-1
расчет;0
калькулятор;1
исчисление;0
календарь;0
Auto corrected to: calendar;0
теленок;1
калибр;0
калибровать;0
коленкор;0
штангенциркуль;0
вызов;0
каллиграфия;0
призвание;0
NO TRANSLATION;-1
звонки;-1
спокойный;1
спокойствие;0
тепловой;0
калория;0
калориметр;0
кулачок;0
выпуклость;0
верблюд;0
камея;0
кинооператор;0
камзол;0
камуфляж;0
NO TRANSLATION;0
лагерь;0
кампания;0
служака;0
агитация;-1
кампус;0
канал;0
канарейка;1
Отмена;-1
отмена;0
отмена;0
рак;-1
беспристрастный;1
кандидатура;0
кандидат;1
засахаренный;1
свеча;0
искусственное освещение;0
подсвечник;0
откровенность;0
конфеты;0
трость;0
собачий;0
канистра;0
стоматит;-1
каннибал;-1
людоедство;-1
консервирование;0
NO TRANSLATION;-1
каноэ;0
канон;0
канонический;0
каноны;0
навес;0
столовая;0
Кентербери;0
консоль;0
NO TRANSLATION;0
кантон;0
холст;0
NO TRANSLATION;0
кепка;0
возможность;0
способный;0
вместимость;0
мыс;0
каперсы;0
капиллярный;0
столица;0
капиталистический;1
столицы;0
подушный налог;0
Капитолий;0
капитуляция;0
каприз;0
капризный;0
колпачки;0
капсула;0
капитан;1
подпись;0
пленять;1
пленительный;1
пленник;-1
неволя;-1
капер;-1
захватить;-1
автомобиль;0
карамель;0
карат;0
караван;0
углерод;0
туша;-1
карцинома;-1
карта;0
кардиган;0
кардинальный;0
кардиомиопатия;-1
карты;0
забота;0
карьера;1
осторожный;1
внимательно;1
небрежность;-1
ласка;1
знак вставки;0
смотритель;1
грузовой;0
карибу;0
карикатура;-1
кариес;-1
резня;-1
плотский;-1
гвоздика;0
плотоядный;-1
Кэрол;1
карусель;0
столяр;0
каретка;0
осуществляется;0
перевозчик;0
нести;0
проведение;0
телега;0
картель;-1
возчик;0
хрящ;0
картографический;0
картография;0
мультфильм;0
NO TRANSLATION;0
картридж;0
разделывать;0
резчик;0
резьба по дереву;0
каскад;1
дело;-1
казеин;0
денежные средства;1
касса;0
кашемир;0
кожух;0
казино;0
бочка;0
шкатулка;-1
бросать;0
каста;-1
литейщик;0
замок;0
колесико;0
повседневная;0
вскользь;0
несчастный случай;-1
Кот;0
катаболизм;0
каталог;0
каталог;0
катализ;0
каталитический;0
катамаран;0
катапульта;0
катаракта;-1
катастрофа;-1
поймать;0
привлекательный;0
катехизис;0
категорический;1
категория;0
угождать;1
поставщик;0
гусеница;0
Кейтс;0
слабительное;1
кафедральный собор;1
катетер;-1
католик;0
котовник кошачий;0
крупный рогатый скот;0
партийное собрание;0
каудальный;0
конопатить;0
причинный;0
причинность;0
причинная связь;0
вызванный;0
гать;0
осторожность;-1
предостерегающий;0
осторожный;1
осторожно;1
кавалерия;0
пещера;0
предостережение;0
каверна;0
кавернозный;0
полость;0
кайенский перец;0
прекращение;0
непрестанный;0
уступать;-1
потолок;0
священник;0
знаменитый;1
празднуя;1
праздник;1
знаменитость;0
астрономический;1
целибат;0
клетка;0
подвал;0
Сотовая связь;0
целлулоид;0
цемент;0
цементируется;0
кладбище;-1
цензор;-1
порицание;-1
перепись;0
цент;0
столетний;0
столетний;0
центр;1
сантиметр;0
центральный;0
центральность;0
централизация;0
централизовать;0
централизованно;0
центробежный;0
центрифуга;0
центурион;1
века;0
керамика;0
зерновой;0
хлопья;0
церебральный;1
церемониальный;0
церемония;1
определенность;1
сертификат;0
удостоверять;0
налог;-1
прекращение;-1
высевки;-1
растирание;-1
огорчение;-1
цепь;0
стул;0
председатель;1
председатель;0
председательница;1
фаэтон;0
шале;0
чаша;0
мел;0
